LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARNKGTR55          8018138174809Divisorio per canali K45                   00072000720007299999940000000023000000000230000001EURLM 0320130301                  34                
ARNKGV45.3         8018138174908Coprigiunzione per K45 BIANCO PURO         00010000100001099999940000000019000000000190000001EURPCE0320130301                  34                
ARNKGW55105.3      8018138174816Curva piana 105x55 BIANCO PURO             00004000040000499999940000000069000000000690000001EURPCE0320130301                  34                
ARNKGW55135.3      8018138174823Curva piana 135x55 BIANCO PURO             00004000040000499999940000000081000000000810000001EURPCE0320130301                  34                
ARNKGW55165.3      8018138174830Curva piana 165x55 BIANCO PURO             00002000020000299999940000000087000000000870000001EURPCE0320130301                  34                
ARNKGW5585.3       8018138174861Curva piana 85x55 BIANCO PURO              00004000040000499999940000000047000000000470000001EURPCE0320130301                  34                
ARNKI1010.3        8018138170412Angolo interno 10x10 BIANCO PURO           00050000500005099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKI1015.3        8018138181586Angolo interno 15x10 BIANCO (2p)           00020000200002099999940000000015200000000152000001EURPCE0320130301                  21                
ARNKI1015.CL       8018138169638Angolo interno 15x10 CILIEGIO (2p)         00020000200002099999940000000016700000000167000001EURPCE0320130301                  22                
ARNKI1015.FG       8018138169645Angolo interno 15x10 FAGGIO (2p)           00020000200002099999940000000016700000000167000001EURPCE0320130301                  22                
ARNKI1022.3        8018138142808Angolo interno 21x10 BIANCO PURO           00040000400004099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKI1022.5        8018138104769Angolo interno 21x10 MARRONE               00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKI1022.52       8018138176124Angolo interno 21x10 LEGNO SCURO           00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKI1022.53       8018138176131Angolo interno 21x10 LEGNO CHIARO          00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKI1022.6        8018138104776Angolo interno 21x10 BIANCO                00040000400004099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKI1022GDO.3     8018138176148Angolo interno 21x10 BIANCO P. (2p)        00020000200002099999940000000012000000000120000001EURPCE0320130301                  28                
ARNKI1030.3        8018138142815Angolo interno 30x10 BIANCO PURO           00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKI1030.6        8018138104783Angolo interno 30x10 BIANCO                00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKI1030GDO.3     8018138176155Angolo interno 30x10 BIANCO P. (2p)        00010000100001099999940000000015800000000158000001EURPCE0320130301                  28                
ARNKI1515.3        8018138170429Angolo interno 15x15 BIANCO PURO           00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKI1515GDO.3     8018138179538Angolo interno 15x15 BIANCO P. (2p)        00020000200002099999940000000018100000000181000001EURPCE0320130301                  28                
ARNKI1818.3        8018138142792Angolo interno 18x18 BIANCO PURO           00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKI1818.6        8018138104820Angolo interno 18x18 BIANCO                00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKI1825.3        8018138167009Angolo interno 25x18 BIANCO PURO           00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKI1825.6        8018138165487Angolo interno 25x18 BIANCO                00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKI1825GDO.3     8018138176162Angolo interno 25x18 BIANCO P. (2p)        00020000200002099999940000000018900000000189000001EURPCE0320130301                  28                
ARNKI1830.3        8018138142822Angolo interno 30x18 BIANCO PURO           00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKI1830.5        8018138104851Angolo interno 30x18 MARRONE               00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKI1830.52       8018138176179Angolo interno 30x18 LEGNO SCURO           00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKI1830.53       8018138176186Angolo interno 30x18 LEGNO CHIARO          00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKI1830.6        8018138104868Angolo interno 30x18 BIANCO                00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKI1830GDO.3     8018138179613Angolo interno 30x18 BIANCO P. (2p)        00020000200002099999940000000020000000000200000001EURPCE0320130301                  28                
ARNKI1840.3        8018138145465Angolo interno 40x18 BIANCO PURO           00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKI1840.6        8018138127324Angolo interno 40x18 BIANCO                00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKI1840GDO.3     8018138176193Angolo interno 40x18 BIANCO P. (2p)        00010000100001099999940000000029000000000290000001EURPCE0320130301                  28                
ARNKI1850.3        8018138142853Angolo interno 50x18 BIANCO PURO           00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKI1850.6        8018138104899Angolo interno 50x18 BIANCO                00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKI1850GDO.3     8018138176209Angolo interno 50x18 BIANCO P. (2p)        00010000100001099999940000000031800000000318000001EURPCE0320130301                  28                
ARNKI2530.3        8018138146721Angolo interno 30x25 BIANCO PURO           00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKI2530.6        8018138104929Angolo interno 30x25 BIANCO                00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKI2540.3        8018138142839Angolo interno 40x25 BIANCO PURO           00020000200002099999940000000018800000000188000001EURPCE0320130301                  28                
